INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n22-k2.vrp        GRASP-1000-0.125216.00         25.760         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.903         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         25.044         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         25.383         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         25.822         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.876         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.511         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.664         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         25.047         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.437         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.606         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.820         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.927         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.677         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.304         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         25.316         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.577         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.951         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.810         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.125216.00         24.519         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.019         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         27.447         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.210         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.129         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         27.790         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         27.904         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         27.817         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.426         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.597         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.325         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.095         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.624         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.622         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         27.850         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.719         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.148         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         27.551         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.407         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.165         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.25216.00         28.975         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 222.00         31.587         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.5 216.00         32.052         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 222.00         31.028         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.5 221.00         31.287         22        160       2.314814814814815   
P-n22-k2.vrp        GRASP-1000-0.5 216.00         31.716         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 225.00         31.811         22        160       4.166666666666666   
P-n22-k2.vrp        GRASP-1000-0.5 216.00         32.297         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 220.00         31.985         22        160       1.8518518518518516  
P-n22-k2.vrp        GRASP-1000-0.5 216.00         31.914         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 221.00         31.506         22        160       2.314814814814815   
P-n22-k2.vrp        GRASP-1000-0.5 216.00         31.870         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 216.00         31.134         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 216.00         31.864         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 220.00         31.822         22        160       1.8518518518518516  
P-n22-k2.vrp        GRASP-1000-0.5 222.00         31.316         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.5 222.00         31.369         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.5 222.00         32.125         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.5 222.00         31.580         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.5 216.00         31.984         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.5 221.00         31.945         22        160       2.314814814814815   
P-n22-k2.vrp        GRASP-1000-0.75229.00         34.001         22        160       6.018518518518518   
P-n22-k2.vrp        GRASP-1000-0.75225.00         33.544         22        160       4.166666666666666   
P-n22-k2.vrp        GRASP-1000-0.75226.00         33.971         22        160       4.62962962962963    
P-n22-k2.vrp        GRASP-1000-0.75216.00         33.882         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.75225.00         34.033         22        160       4.166666666666666   
P-n22-k2.vrp        GRASP-1000-0.75230.00         35.267         22        160       6.481481481481481   
P-n22-k2.vrp        GRASP-1000-0.75225.00         34.497         22        160       4.166666666666666   
P-n22-k2.vrp        GRASP-1000-0.75222.00         33.922         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.75221.00         33.744         22        160       2.314814814814815   
P-n22-k2.vrp        GRASP-1000-0.75222.00         34.044         22        160       2.7777777777777777  
P-n22-k2.vrp        GRASP-1000-0.75233.00         34.225         22        160       7.87037037037037    
P-n22-k2.vrp        GRASP-1000-0.75223.00         34.221         22        160       3.2407407407407405  
P-n22-k2.vrp        GRASP-1000-0.75225.00         33.295         22        160       4.166666666666666   
P-n22-k2.vrp        GRASP-1000-0.75235.00         34.526         22        160       8.796296296296296   
P-n22-k2.vrp        GRASP-1000-0.75226.00         33.285         22        160       4.62962962962963    
P-n22-k2.vrp        GRASP-1000-0.75229.00         35.200         22        160       6.018518518518518   
P-n22-k2.vrp        GRASP-1000-0.75216.00         34.534         22        160       0.0                 
P-n22-k2.vrp        GRASP-1000-0.75235.00         34.339         22        160       8.796296296296296   
P-n22-k2.vrp        GRASP-1000-0.75233.00         33.743         22        160       7.87037037037037    
P-n22-k2.vrp        GRASP-1000-0.75236.00         34.139         22        160       9.25925925925926    
P-n22-k2.vrp        GRASP-1000-1.0 224.00         35.642         22        160       3.7037037037037033  
P-n22-k2.vrp        GRASP-1000-1.0 241.00         36.044         22        160       11.574074074074074  
P-n22-k2.vrp        GRASP-1000-1.0 228.00         36.871         22        160       5.555555555555555   
P-n22-k2.vrp        GRASP-1000-1.0 235.00         36.160         22        160       8.796296296296296   
P-n22-k2.vrp        GRASP-1000-1.0 232.00         35.282         22        160       7.4074074074074066  
P-n22-k2.vrp        GRASP-1000-1.0 223.00         35.548         22        160       3.2407407407407405  
P-n22-k2.vrp        GRASP-1000-1.0 237.00         36.778         22        160       9.722222222222223   
P-n22-k2.vrp        GRASP-1000-1.0 224.00         36.598         22        160       3.7037037037037033  
P-n22-k2.vrp        GRASP-1000-1.0 223.00         36.250         22        160       3.2407407407407405  
P-n22-k2.vrp        GRASP-1000-1.0 236.00         36.748         22        160       9.25925925925926    
P-n22-k2.vrp        GRASP-1000-1.0 242.00         35.572         22        160       12.037037037037036  
P-n22-k2.vrp        GRASP-1000-1.0 225.00         37.862         22        160       4.166666666666666   
P-n22-k2.vrp        GRASP-1000-1.0 234.00         35.774         22        160       8.333333333333332   
P-n22-k2.vrp        GRASP-1000-1.0 242.00         36.337         22        160       12.037037037037036  
P-n22-k2.vrp        GRASP-1000-1.0 232.00         35.403         22        160       7.4074074074074066  
P-n22-k2.vrp        GRASP-1000-1.0 236.00         36.780         22        160       9.25925925925926    
P-n22-k2.vrp        GRASP-1000-1.0 241.00         35.875         22        160       11.574074074074074  
P-n22-k2.vrp        GRASP-1000-1.0 232.00         36.057         22        160       7.4074074074074066  
P-n22-k2.vrp        GRASP-1000-1.0 234.00         36.667         22        160       8.333333333333332   
P-n22-k2.vrp        GRASP-1000-1.0 220.00         36.253         22        160       1.8518518518518516  
