INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.551          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.566          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.551          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.575          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.564          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.576          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.594          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.553          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.572          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.591          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125457.00         0.586          16        35        1.5555555555555556  
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.572          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.565          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.589          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.562          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.568          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.558          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.588          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.642          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.125450.00         0.650          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.682          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.605          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.616          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25453.00         0.822          16        35        0.6666666666666667  
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.636          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.591          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.601          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.618          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.603          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.617          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.619          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.622          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.589          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.596          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.608          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.686          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.662          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.617          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.622          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.25450.00         0.606          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 458.00         0.644          16        35        1.7777777777777777  
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.624          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 459.00         0.625          16        35        2.0                 
P-n16-k8.vrp        GRASP-1000-0.5 456.00         0.586          16        35        1.3333333333333335  
P-n16-k8.vrp        GRASP-1000-0.5 453.00         0.612          16        35        0.6666666666666667  
P-n16-k8.vrp        GRASP-1000-0.5 455.00         0.650          16        35        1.1111111111111112  
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.631          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 460.00         0.619          16        35        2.2222222222222223  
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.597          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.598          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.591          16        35        0.0                 
