INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n16-k8.vrp        GRASP-1000-0.5 455.00         0.610          16        35        1.1111111111111112  
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.632          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.613          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 453.00         0.595          16        35        0.6666666666666667  
P-n16-k8.vrp        GRASP-1000-0.5 456.00         0.599          16        35        1.3333333333333335  
P-n16-k8.vrp        GRASP-1000-0.5 450.00         0.626          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.5 453.00         0.640          16        35        0.6666666666666667  
P-n16-k8.vrp        GRASP-1000-0.5 455.00         0.610          16        35        1.1111111111111112  
P-n16-k8.vrp        GRASP-1000-0.5 455.00         0.616          16        35        1.1111111111111112  
P-n16-k8.vrp        GRASP-1000-0.75453.00         0.639          16        35        0.6666666666666667  
P-n16-k8.vrp        GRASP-1000-0.75457.00         0.629          16        35        1.5555555555555556  
P-n16-k8.vrp        GRASP-1000-0.75458.00         0.608          16        35        1.7777777777777777  
P-n16-k8.vrp        GRASP-1000-0.75455.00         0.642          16        35        1.1111111111111112  
P-n16-k8.vrp        GRASP-1000-0.75450.00         0.683          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.75456.00         0.645          16        35        1.3333333333333335  
P-n16-k8.vrp        GRASP-1000-0.75463.00         0.662          16        35        2.888888888888889   
P-n16-k8.vrp        GRASP-1000-0.75464.00         0.643          16        35        3.111111111111111   
P-n16-k8.vrp        GRASP-1000-0.75456.00         0.652          16        35        1.3333333333333335  
P-n16-k8.vrp        GRASP-1000-0.75469.00         0.635          16        35        4.222222222222222   
P-n16-k8.vrp        GRASP-1000-0.75450.00         0.626          16        35        0.0                 
P-n16-k8.vrp        GRASP-1000-0.75458.00         0.629          16        35        1.7777777777777777  
P-n16-k8.vrp        GRASP-1000-0.75458.00         0.637          16        35        1.7777777777777777  
P-n16-k8.vrp        GRASP-1000-0.75458.00         0.633          16        35        1.7777777777777777  
P-n16-k8.vrp        GRASP-1000-0.75459.00         0.647          16        35        2.0                 
P-n16-k8.vrp        GRASP-1000-0.75461.00         0.638          16        35        2.4444444444444446  
P-n16-k8.vrp        GRASP-1000-0.75469.00         0.641          16        35        4.222222222222222   
P-n16-k8.vrp        GRASP-1000-0.75467.00         0.612          16        35        3.7777777777777777  
P-n16-k8.vrp        GRASP-1000-0.75461.00         0.618          16        35        2.4444444444444446  
P-n16-k8.vrp        GRASP-1000-0.75462.00         0.624          16        35        2.666666666666667   
P-n16-k8.vrp        GRASP-1000-1.0 462.00         0.656          16        35        2.666666666666667   
P-n16-k8.vrp        GRASP-1000-1.0 484.00         0.727          16        35        7.555555555555555   
P-n16-k8.vrp        GRASP-1000-1.0 483.00         0.677          16        35        7.333333333333333   
P-n16-k8.vrp        GRASP-1000-1.0 488.00         0.659          16        35        8.444444444444445   
P-n16-k8.vrp        GRASP-1000-1.0 469.00         0.674          16        35        4.222222222222222   
P-n16-k8.vrp        GRASP-1000-1.0 470.00         0.766          16        35        4.444444444444445   
P-n16-k8.vrp        GRASP-1000-1.0 476.00         0.686          16        35        5.777777777777778   
P-n16-k8.vrp        GRASP-1000-1.0 475.00         0.651          16        35        5.555555555555555   
P-n16-k8.vrp        GRASP-1000-1.0 455.00         0.654          16        35        1.1111111111111112  
P-n16-k8.vrp        GRASP-1000-1.0 469.00         0.653          16        35        4.222222222222222   
P-n16-k8.vrp        GRASP-1000-1.0 469.00         0.649          16        35        4.222222222222222   
P-n16-k8.vrp        GRASP-1000-1.0 489.00         0.658          16        35        8.666666666666668   
P-n16-k8.vrp        GRASP-1000-1.0 488.00         0.645          16        35        8.444444444444445   
P-n16-k8.vrp        GRASP-1000-1.0 486.00         0.675          16        35        8.0                 
P-n16-k8.vrp        GRASP-1000-1.0 473.00         0.632          16        35        5.111111111111112   
P-n16-k8.vrp        GRASP-1000-1.0 469.00         0.698          16        35        4.222222222222222   
P-n16-k8.vrp        GRASP-1000-1.0 482.00         0.657          16        35        7.111111111111111   
P-n16-k8.vrp        GRASP-1000-1.0 482.00         0.644          16        35        7.111111111111111   
P-n16-k8.vrp        GRASP-1000-1.0 482.00         0.636          16        35        7.111111111111111   
P-n16-k8.vrp        GRASP-1000-1.0 482.00         0.647          16        35        7.111111111111111   
