INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n20-k2.vrp        GRASP-1000-0.75218.00         20.881         20        160       0.9259259259259258  
P-n20-k2.vrp        GRASP-1000-0.75217.00         20.917         20        160       0.4629629629629629  
P-n20-k2.vrp        GRASP-1000-0.75219.00         20.895         20        160       1.3888888888888888  
P-n20-k2.vrp        GRASP-1000-0.75217.00         21.146         20        160       0.4629629629629629  
P-n20-k2.vrp        GRASP-1000-0.75224.00         21.473         20        160       3.7037037037037033  
P-n20-k2.vrp        GRASP-1000-0.75219.00         21.437         20        160       1.3888888888888888  
P-n20-k2.vrp        GRASP-1000-0.75222.00         21.302         20        160       2.7777777777777777  
P-n20-k2.vrp        GRASP-1000-1.0 227.00         22.251         20        160       5.092592592592593   
P-n20-k2.vrp        GRASP-1000-1.0 229.00         23.137         20        160       6.018518518518518   
P-n20-k2.vrp        GRASP-1000-1.0 234.00         22.395         20        160       8.333333333333332   
P-n20-k2.vrp        GRASP-1000-1.0 228.00         22.500         20        160       5.555555555555555   
P-n20-k2.vrp        GRASP-1000-1.0 233.00         22.685         20        160       7.87037037037037    
P-n20-k2.vrp        GRASP-1000-1.0 224.00         24.141         20        160       3.7037037037037033  
P-n20-k2.vrp        GRASP-1000-1.0 227.00         22.133         20        160       5.092592592592593   
P-n20-k2.vrp        GRASP-1000-1.0 229.00         22.500         20        160       6.018518518518518   
P-n20-k2.vrp        GRASP-1000-1.0 224.00         22.286         20        160       3.7037037037037033  
P-n20-k2.vrp        GRASP-1000-1.0 238.00         22.905         20        160       10.185185185185185  
P-n20-k2.vrp        GRASP-1000-1.0 227.00         22.388         20        160       5.092592592592593   
P-n20-k2.vrp        GRASP-1000-1.0 232.00         23.006         20        160       7.4074074074074066  
P-n20-k2.vrp        GRASP-1000-1.0 230.00         22.804         20        160       6.481481481481481   
P-n20-k2.vrp        GRASP-1000-1.0 223.00         22.680         20        160       3.2407407407407405  
P-n20-k2.vrp        GRASP-1000-1.0 227.00         23.090         20        160       5.092592592592593   
P-n20-k2.vrp        GRASP-1000-1.0 217.00         24.666         20        160       0.4629629629629629  
P-n20-k2.vrp        GRASP-1000-1.0 236.00         23.347         20        160       9.25925925925926    
P-n20-k2.vrp        GRASP-1000-1.0 233.00         22.432         20        160       7.87037037037037    
P-n20-k2.vrp        GRASP-1000-1.0 219.00         22.778         20        160       1.3888888888888888  
P-n20-k2.vrp        GRASP-1000-1.0 232.00         23.527         20        160       7.4074074074074066  
