INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n19-k2.vrp        GRASP-10-0.125 244.00         0.146          19        160       15.09433962264151   
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.572         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.429         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.120         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.394         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.200         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.123         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.563         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.470         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.061         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.761         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.055         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.289         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         12.971         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         12.822         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.307         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.252         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         12.866         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.799         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.237         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.125218.00         13.196         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.25215.00         15.313         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.208         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.689         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25215.00         15.219         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.132         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25215.00         14.885         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.459         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25215.00         15.111         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.534         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.575         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.251         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25212.00         16.329         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25212.00         14.826         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25215.00         15.412         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.234         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25215.00         14.714         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.25218.00         15.830         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.374         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25212.00         15.442         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.25212.00         14.828         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 215.00         17.254         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.5 212.00         16.984         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.607         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.398         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         16.956         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         16.848         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 215.00         17.628         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.206         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 218.00         16.919         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.5 212.00         16.905         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         16.959         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.104         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.326         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 218.00         17.373         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.362         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.020         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         16.752         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.030         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.5 215.00         17.329         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.5 212.00         17.039         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.75212.00         18.161         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.75223.00         18.774         19        160       5.188679245283019   
P-n19-k2.vrp        GRASP-1000-0.75215.00         21.945         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.75215.00         22.435         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.75221.00         22.176         19        160       4.245283018867925   
P-n19-k2.vrp        GRASP-1000-0.75215.00         22.273         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.75212.00         23.056         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.75215.00         21.889         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-0.75212.00         22.412         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-0.75218.00         22.270         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.75222.00         23.481         19        160       4.716981132075472   
P-n19-k2.vrp        GRASP-1000-0.75230.00         23.055         19        160       8.49056603773585    
P-n19-k2.vrp        GRASP-1000-0.75226.00         22.752         19        160       6.60377358490566    
P-n19-k2.vrp        GRASP-1000-0.75218.00         22.628         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.75219.00         22.042         19        160       3.30188679245283    
P-n19-k2.vrp        GRASP-1000-0.75222.00         22.535         19        160       4.716981132075472   
P-n19-k2.vrp        GRASP-1000-0.75218.00         21.842         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.75218.00         23.170         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-0.75219.00         22.997         19        160       3.30188679245283    
P-n19-k2.vrp        GRASP-1000-0.75212.00         22.515         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-1.0 226.00         23.280         19        160       6.60377358490566    
P-n19-k2.vrp        GRASP-1000-1.0 221.00         22.846         19        160       4.245283018867925   
P-n19-k2.vrp        GRASP-1000-1.0 215.00         23.668         19        160       1.4150943396226416  
P-n19-k2.vrp        GRASP-1000-1.0 222.00         23.582         19        160       4.716981132075472   
P-n19-k2.vrp        GRASP-1000-1.0 226.00         23.656         19        160       6.60377358490566    
P-n19-k2.vrp        GRASP-1000-1.0 223.00         24.424         19        160       5.188679245283019   
P-n19-k2.vrp        GRASP-1000-1.0 233.00         23.723         19        160       9.90566037735849    
P-n19-k2.vrp        GRASP-1000-1.0 229.00         24.470         19        160       8.018867924528301   
P-n19-k2.vrp        GRASP-1000-1.0 218.00         24.834         19        160       2.8301886792452833  
P-n19-k2.vrp        GRASP-1000-1.0 233.00         24.454         19        160       9.90566037735849    
P-n19-k2.vrp        GRASP-1000-1.0 226.00         24.000         19        160       6.60377358490566    
P-n19-k2.vrp        GRASP-1000-1.0 234.00         24.513         19        160       10.377358490566039  
P-n19-k2.vrp        GRASP-1000-1.0 225.00         23.747         19        160       6.132075471698113   
P-n19-k2.vrp        GRASP-1000-1.0 222.00         23.872         19        160       4.716981132075472   
P-n19-k2.vrp        GRASP-1000-1.0 212.00         26.340         19        160       0.0                 
P-n19-k2.vrp        GRASP-1000-1.0 222.00         23.367         19        160       4.716981132075472   
P-n19-k2.vrp        GRASP-1000-1.0 221.00         26.234         19        160       4.245283018867925   
P-n19-k2.vrp        GRASP-1000-1.0 233.00         24.353         19        160       9.90566037735849    
P-n19-k2.vrp        GRASP-1000-1.0 222.00         24.562         19        160       4.716981132075472   
P-n19-k2.vrp        GRASP-1000-1.0 232.00         24.337         19        160       9.433962264150944   
