INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n21-k2.vrp        GRASP-1000-0.75217.00         30.301         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.75219.00         29.953         21        160       3.7914691943127963  
P-n21-k2.vrp        GRASP-1000-0.75225.00         30.015         21        160       6.6350710900473935  
P-n21-k2.vrp        GRASP-1000-0.75232.00         30.132         21        160       9.95260663507109    
P-n21-k2.vrp        GRASP-1000-1.0 232.00         30.849         21        160       9.95260663507109    
P-n21-k2.vrp        GRASP-1000-1.0 229.00         31.367         21        160       8.530805687203792   
P-n21-k2.vrp        GRASP-1000-1.0 233.00         31.329         21        160       10.42654028436019   
P-n21-k2.vrp        GRASP-1000-1.0 223.00         30.861         21        160       5.687203791469194   
P-n21-k2.vrp        GRASP-1000-1.0 234.00         31.713         21        160       10.90047393364929   
P-n21-k2.vrp        GRASP-1000-1.0 226.00         31.328         21        160       7.109004739336493   
P-n21-k2.vrp        GRASP-1000-1.0 229.00         31.379         21        160       8.530805687203792   
P-n21-k2.vrp        GRASP-1000-1.0 224.00         31.613         21        160       6.161137440758294   
P-n21-k2.vrp        GRASP-1000-1.0 234.00         30.725         21        160       10.90047393364929   
P-n21-k2.vrp        GRASP-1000-1.0 236.00         31.114         21        160       11.848341232227488  
P-n21-k2.vrp        GRASP-1000-1.0 239.00         32.472         21        160       13.270142180094787  
P-n21-k2.vrp        GRASP-1000-1.0 215.00         32.308         21        160       1.8957345971563981  
P-n21-k2.vrp        GRASP-1000-1.0 226.00         32.061         21        160       7.109004739336493   
P-n21-k2.vrp        GRASP-1000-1.0 230.00         29.698         21        160       9.004739336492891   
P-n21-k2.vrp        GRASP-1000-1.0 232.00         29.995         21        160       9.95260663507109    
P-n21-k2.vrp        GRASP-1000-1.0 224.00         30.854         21        160       6.161137440758294   
P-n21-k2.vrp        GRASP-1000-1.0 234.00         33.118         21        160       10.90047393364929   
P-n21-k2.vrp        GRASP-1000-1.0 232.00         32.836         21        160       9.95260663507109    
P-n21-k2.vrp        GRASP-1000-1.0 221.00         31.540         21        160       4.739336492890995   
P-n21-k2.vrp        GRASP-1000-1.0 218.00         31.761         21        160       3.3175355450236967  
