INSTANCE            METHOD         OBJECTIVE      RUNTIME        DIMENSION CAPACITY  GAP       
P-n21-k2.vrp        GRASP-1000-0.125211.00         22.341         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         20.706         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         23.109         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         21.280         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         20.780         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         20.538         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         23.425         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         20.897         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         24.968         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         23.292         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         22.993         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         22.614         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         22.794         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         23.188         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         23.316         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         23.827         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         24.920         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         21.361         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         21.441         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.125211.00         21.744         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         24.174         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.478         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         24.008         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         24.234         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.885         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.449         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         24.201         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.919         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.927         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.041         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.189         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.690         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.277         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.362         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.416         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.852         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.851         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.792         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         23.662         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.25211.00         24.188         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.5 217.00         28.277         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.5 217.00         28.213         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.5 211.00         27.536         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.5 218.00         28.344         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.5 217.00         27.884         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.5 214.00         27.891         21        160       1.4218009478672986  
P-n21-k2.vrp        GRASP-1000-0.5 218.00         28.959         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.5 218.00         28.340         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.5 211.00         28.396         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.5 217.00         28.438         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.5 211.00         28.736         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.5 217.00         27.911         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.5 215.00         28.283         21        160       1.8957345971563981  
P-n21-k2.vrp        GRASP-1000-0.5 217.00         28.450         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.5 218.00         28.612         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.5 211.00         28.836         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.5 217.00         28.428         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.5 218.00         28.569         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.5 218.00         29.139         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.5 217.00         28.560         21        160       2.843601895734597   
P-n21-k2.vrp        GRASP-1000-0.75229.00         30.081         21        160       8.530805687203792   
P-n21-k2.vrp        GRASP-1000-0.75228.00         30.688         21        160       8.056872037914692   
P-n21-k2.vrp        GRASP-1000-0.75219.00         30.908         21        160       3.7914691943127963  
P-n21-k2.vrp        GRASP-1000-0.75228.00         30.407         21        160       8.056872037914692   
P-n21-k2.vrp        GRASP-1000-0.75220.00         31.279         21        160       4.265402843601896   
P-n21-k2.vrp        GRASP-1000-0.75218.00         31.300         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.75211.00         31.663         21        160       0.0                 
P-n21-k2.vrp        GRASP-1000-0.75222.00         30.415         21        160       5.213270142180095   
P-n21-k2.vrp        GRASP-1000-0.75218.00         29.822         21        160       3.3175355450236967  
P-n21-k2.vrp        GRASP-1000-0.75222.00         29.021         21        160       5.213270142180095   
P-n21-k2.vrp        GRASP-1000-0.75226.00         29.573         21        160       7.109004739336493   
P-n21-k2.vrp        GRASP-1000-0.75219.00         30.262         21        160       3.7914691943127963  
P-n21-k2.vrp        GRASP-1000-0.75221.00         30.373         21        160       4.739336492890995   
P-n21-k2.vrp        GRASP-1000-0.75222.00         31.048         21        160       5.213270142180095   
P-n21-k2.vrp        GRASP-1000-0.75232.00         30.913         21        160       9.95260663507109    
P-n21-k2.vrp        GRASP-1000-0.75222.00         31.109         21        160       5.213270142180095   
